id,source,time,latitude,longitude,altitude,units,icon,location,description,synthURL,panoURL
1,KHOKL CS Students 2015,6/29/2015 20:07,20.941294,-156.514964,206,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Kukui,https://photosynth.net/preview/embed/27f095a8-23ee-4169-945f-6e3e56cdc395?delayload=false&autoplay=true&showannotations=true,
2,KHOKL CS Students 2015,6/29/2015 20:10,20.941088,-156.514915,211.9,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Pua Melia,https://photosynth.net/preview/embed/4c87eb3b-4883-44a0-9aec-49d7faece284?delayload=false&autoplay=true&showannotations=true,
3,KHOKL CS Students 2015,6/29/2015 20:12,20.940863,-156.514589,193.6,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Noni,https://photosynth.net/preview/embed/62799ab5-8f8c-4c2d-a2fd-8123c235cc12?delayload=false&autoplay=true&showannotations=true,
4,KHOKL CS Students 2015,6/29/2015 20:12,20.940852,-156.514502,197.8,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Niu,https://photosynth.net/preview/embed/d10944d7-77d5-4691-8b39-bdddfbd5fb23?delayload=false&autoplay=true&showannotations=true,
5,KHOKL CS Students 2015,6/29/2015 20:16,20.940958,-156.515276,200.1,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Banana,https://photosynth.net/preview/embed/661bc591-c7c9-44aa-b024-7c53acd2e5a5?delayload=false&autoplay=true&showannotations=true,
6,KHOKL CS Students 2015,6/29/2015 20:17,20.940892,-156.51521,193.6,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Ti,https://photosynth.net/preview/embed/d237f28b-9dd0-4047-a9f8-82d3c79ef1ed?delayload=false&autoplay=true&showannotations=true,
7,KHOKL CS Students 2015,6/29/2015 20:41,20.940665,-156.515469,188.3,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",A'ali'i,https://photosynth.net/preview/embed/3e887cd6-622c-4a7d-ad73-c1c28aac4232?delayload=false&autoplay=true&showannotations=true,
8,KHOKL CS Students 2015,6/29/2015 20:41,20.940609,-156.515579,200.5,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Papaya,https://photosynth.net/preview/embed/55c51ecf-e46c-4dcd-99ec-e6dc9689ea1f?delayload=false&autoplay=true&showannotations=true,
10,KHOKL CS Students 2015,6/29/2015 20:43,20.940839,-156.515745,211,ft,"Flag, Blue","Paeloko @ Waihe'e, Maui",Kalo,,https://photosynth.net/preview/embed/a95c54a5-d117-409e-9ac4-507b47df9cff?delayload=false&autoplay=true&showannotations=true
11,KHOKL CS Students 2015,6/29/2015 20:05,20.942375,-156.514471,186,ft,"Flag, Red","Paeloko @ Waihe'e, Maui",Mai'a,https://photosynth.net/preview/embed/f8b45692-eaa3-4121-903b-4719d0081501?delayload=false&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/f87b522b-5502-4c5b-b653-8cb68ab96cc7?delayload=false&autoplay=true&showannotations=true
12,KHOKL CS Students 2015,6/29/2015 20:06,20.942465,-156.514326,188.6,ft,"Flag, Red","Paeloko @ Waihe'e, Maui",Ohe,https://photosynth.net/preview/embed/cf050713-f1ec-4c8f-accf-b270751c07d5?delayload=false&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/1e5eea66-dc08-4889-8f31-bb90dc0c411a?delayload=false&autoplay=true&showannotations=true
13,KHOKL CS Students 2015,6/29/2015 20:10,20.942173,-156.514142,194.2,ft,"Flag, Red","Paeloko @ Waihe'e, Maui",Kukui,https://photosynth.net/preview/embed/81f13120-23d2-49b2-84e5-181dbf5f0a3a?delayload=false&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/a250d267-6fbd-47eb-9ef5-28872f02836c?delayload=false&autoplay=true&showannotations=true
14,KHOKL CS Students 2015,6/29/2015 20:12,20.941876,-156.514386,202.1,ft,"Flag, Red","Paeloko @ Waihe'e, Maui",Wauke,https://photosynth.net/preview/embed/1430ab55-bb00-4f0a-92d7-d00f07c78c6e?delayload=false&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/3718b261-fa44-4f24-955d-7350bf10864e?delayload=false&autoplay=true&showannotations=true
15,KHOKL CS Students 2015,6/29/2015 20:15,20.942159,-156.513985,191.3,ft,"Flag, Red","Paeloko @ Waihe'e, Maui",Ulu,https://photosynth.net/preview/embed/ab42a6ed-d478-46a5-97c1-9ac0fa8e934b?delayload=false&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/f0fba465-c276-4193-871a-b93f5a715149?delayload=false&autoplay=true&showannotations=true
