id,source,time,latitude,longitude,altitude,units,icon,location,description,synthURL,panoURL
1,KHOKL CS STUDENTS 2015,6/25/2015 23:46,20.891359,-156.478837,,ft,"Flag, Blue",UHMC Campus,FINE ARTS,https://photosynth.net/preview/embed/b9ecd61d-6046-479a-89d0-176c1e167b68?delayload=true&autoplay=true&showannotations=true,
2,KHOKL CS STUDENTS 2015,6/25/2015 23:52,20.890522,-156.481087,108.3,ft,"Flag, Blue",UHMC Campus,CHAIR,https://photosynth.net/preview/embed/7ff1443a-05ee-4d16-ae14-92ee37595562?delayload=true&autoplay=true&showannotations=true,
3,KHOKL CS STUDENTS 2015,6/25/2015 23:54,20.890779,-156.481004,170.9,ft,"Flag, Blue",UHMC Campus,INSIDE,https://photosynth.net/preview/embed/56d78d00-a82c-45d4-ae0c-1c524344d170?delayload=true&autoplay=true&showannotations=true,
5,KHOKL CS STUDENTS 2015,6/25/2015 23:58,20.889729,-156.481582,95.1,ft,"Flag, Blue",UHMC Campus,TRUCKS,,https://photosynth.net/preview/embed/e10bce88-91cd-4fb2-9244-45d01987883a?delayload=true&autoplay=true&showannotations=true
6,KHOKL CS STUDENTS 2015,6/26/2015 0:02,20.890279,-156.480867,121.4,ft,"Flag, Blue",UHMC Campus,NURSING,,https://photosynth.net/preview/embed/8654d2f5-1838-49fd-9545-0764762d5b18?delayload=true&autoplay=true&showannotations=true
7,KHOKL CS STUDENTS 2015,6/25/2015 23:40,20.891338,-156.47913,283.8,ft,"Flag, Red",UHMC Campus,BIG TREE,https://photosynth.net/preview/embed/1f200d3f-7d67-4f22-b39d-a5e6e11e462b?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/227b2123-8aa9-4b2a-ae24-25969c76dbad?delayload=true&autoplay=true&showannotations=true
8,KHOKL CS STUDENTS 2015,6/25/2015 23:46,20.892541,-156.479365,63,ft,"Flag, Red",UHMC Campus,TREE IN PLANTER,https://photosynth.net/preview/embed/50728c71-6b4e-40f3-acde-307f2660de86?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/029a80df-9c01-4f7b-af74-f0843561faa0?delayload=true&autoplay=true&showannotations=true
9,KHOKL CS STUDENTS 2015,6/25/2015 23:49,20.891605,-156.479821,86.3,ft,"Flag, Red",UHMC Campus,2TREEZ,https://photosynth.net/preview/embed/49ad5144-2fac-4877-96d6-63e141fd5bc5?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/4a8aa749-1956-415a-b40e-d60745b91ec4?delayload=true&autoplay=true&showannotations=true
10,KHOKL CS STUDENTS 2015,6/25/2015 23:51,20.891769,-156.479709,73.8,ft,"Flag, Red",UHMC Campus,HALA GR0VE,https://photosynth.net/preview/embed/9cf402b5-b7fb-4856-a068-295fbfd99200?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/f02511e8-fe8a-4a69-80ae-cec92ad79d02?delayload=true&autoplay=true&showannotations=true
11,KHOKL CS STUDENTS 2015,6/25/2015 23:54,20.89135,-156.480286,81.4,ft,"Flag, Red",UHMC Campus,CHILL SPOT,https://photosynth.net/preview/embed/0f0232af-9175-42c6-80e1-fcd2ed1ef460?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/8d9c36c5-ba17-4ee6-a1a0-fd398a42a5ef?delayload=true&autoplay=true&showannotations=true
12,KHOKL CS STUDENTS 2015,6/25/2015 23:44,20.891334,-156.479049,77.8,ft,"Flag, Red",UHMC Campus,TREES,https://photosynth.net/preview/embed/815172c3-7136-4617-a134-21e7a50cf922?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/1c54cb37-30a7-45f6-beef-dd5f87513e1a?delayload=true&autoplay=true&showannotations=true
13,KHOKL CS STUDENTS 2015,6/25/2015 23:46,20.89121,-156.479078,78.1,ft,"Flag, Yellow",UHMC Campus,BIRD OF P,https://photosynth.net/preview/embed/02590aae-5ee4-440c-9759-fa1854451b58?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/eaf6ecd5-cbfc-4cfc-bfe2-e599c6d9cd46?delayload=true&autoplay=true&showannotations=true
14,KHOKL CS STUDENTS 2015,6/25/2015 23:48,20.890927,-156.480008,77.8,ft,"Flag, Yellow",UHMC Campus,TOTEMS,https://photosynth.net/preview/embed/fefd0673-aabb-45d3-afd6-c7bf63c34647?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/2020e45c-f5a4-4917-ba7c-46f39874d3d2?delayload=true&autoplay=true&showannotations=true
15,KHOKL CS STUDENTS 2015,6/25/2015 23:51,20.890674,-156.480233,79.7,ft,"Flag, Yellow",UHMC Campus,HEONA,https://photosynth.net/preview/embed/c455dff9-7a7d-44c5-873e-60497e2a12ce?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/d61c6f39-5d6e-422e-b84f-ced950ff16c7?delayload=true&autoplay=true&showannotations=true
16,KHOKL CS STUDENTS 2015,6/25/2015 23:55,20.890347,-156.480058,195.2,ft,"Flag, Yellow",UHMC Campus,SEAL,https://photosynth.net/preview/embed/6036f497-6840-4974-a112-e7affcb31a02?delayload=true&autoplay=true&showannotations=true,https://photosynth.net/preview/embed/dc70313f-3707-4d04-8905-c0088751f42a?delayload=true&autoplay=true&showannotations=true
